Store,PRODUCT NAME,CLOTHING CATEGORY,PRICE,DESCRIPTION,Product Page URL,STATIC IMAGE URL
Anthropologie,Paige Manhattan Mid-Rise Bootcut Jeans,Jeans,$199.00,"Roomy enough to style with your ankle boots, but not as dramatic as the flare, these bootcut jeans feel sensibly wearable - and eternally chic.",https://www.anthropologie.com/shop/paige-manhattan-mid-rise-bootcut-jeans6?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122057270094_091_b?$an-category$&qlt=80&fit=constrain
Anthropologie,Pilcro High-Rise Embroidered Slim Straight Jeans,Jeans,$168.00,Embroidered and beaded details at the ankle lend this slim pair an elevated touch.,https://www.anthropologie.com/shop/pilcro-high-rise-embroidered-slim-straight-jeans?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122581480010_093_b?$an-category$&qlt=80&fit=constrain
Anthropologie,Pilcro Ultra High-Rise Button-Fly Skinny Jeans,Jeans,$120.00,"Featuring a body-hugging fit that tapers through to the ankle, skinny jeans are a staple for the modern wardrobe.",https://www.anthropologie.com/shop/pilcro-ultra-high-rise-button-fly-skinny-jeans?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122570540001_091_b?$an-category$&qlt=80&fit=constrain
Anthropologie,Paige Hoxton High-Rise Coated Skinny Jeans,Jeans,$249.00,"Coated denim is this season's trendiest new look, offering a sleek and oh-so-sumptuous feel to your favorite silhouettes.",https://www.anthropologie.com/shop/paige-hoxton-high-rise-coated-skinny-jeans3?category=shop-all-jeans&color=044&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122057270126_044_b?$an-category$&qlt=80&fit=constrain
Anthropologie,Paige Hoxton High-Rise Skinny Ankle Jeans,Jeans,$199.00,"In Paige's signature, contouring denim, this skinny pair features a flattering high rise and distressed details for a well-loved feel.",https://www.anthropologie.com/shop/paige-hoxton-high-rise-skinny-ankle-jeans7?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122057270132_093_b?$an-category$&qlt=80&fit=constrain
Anthropologie,AG The Isabelle High-Rise Straight Cropped Jeans,Jeans,$215.00,This high-waisted pair fits slim through the leg and cuts just above the ankle.,https://www.anthropologie.com/shop/ag-the-isabelle-high-rise-straight-cropped-jeans14?category=shop-all-jeans&color=093&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122011330191_093_b?$an-category$&qlt=80&fit=constrain
Anthropologie,Sanctuary High-Rise Cropped Skinny Jeans,Jeans,$119.00,"With a paint splatter effect lending a subtly distressed touch, this cropped pair offers an all-purpose fit you'll love.",https://www.anthropologie.com/shop/sanctuary-high-rise-cropped-skinny-jeans?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122647950033_091_b?$an-category$&qlt=80&fit=constrain
Anthropologie,AG The Stevie High-Rise Skinny Ankle Jeans,Jeans,$198.00,"The Stevie Skinny, an Anthropologie-exclusive style from AG, is one of our most beloved pairs. Cropped at the ankle with a slim fit throughout, these remarkably comfortable jeans from AG are an ultra-flattering essential for work and play.",https://www.anthropologie.com/shop/ag-the-stevie-high-rise-skinny-ankle-jeans6?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/4122011330171_091_b?$an-category$&qlt=80&fit=constrain
Anthropologie,Paige Cindy High-Rise Straight Jeans,Jeans,$225.00,This leg-lengthening pair is fitted through the hip and thigh for an essential silhouette.,https://www.anthropologie.com/shop/paige-cindy-high-rise-straight-jeans?category=shop-all-jeans&color=092&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Paige Hoxton High-Rise Slim Jeans,Jeans,$219.00,"Featuring a vintage-inspired exposed button fly, this slim pair sits high on the hips for an essential silhouette you'll love.",https://www.anthropologie.com/shop/paige-hoxton-high-rise-slim-jeans6?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Utility Bootcut Jeans,Jeans,$140.00,Balance the carpenter-inspired details on these jeans with a peasant blouse or your favorite knit.,https://www.anthropologie.com/shop/pilcro-high-rise-utility-bootcut-jeans?category=shop-all-jeans&color=091&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,Pilcro High-Rise Skinny Corduroy Pants,Jeans,$110.00,"Following in the steps of Jane Birkin and Diane Keaton, we're embracing corduroy: A fabric that's perfect for fall. Tried, well-loved, and true, a slimming pair of corduroy pants is a retro essential that feels fresh when rendered in a surprising hue.",https://www.anthropologie.com/shop/pilcro-high-rise-skinny-corduroy-pants2?category=shop-all-jeans&color=031&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
Anthropologie,AG The Abbey Sateen High-Rise Skinny Ankle Jeans,Jeans,$178.00,"With endless stretchability, these curve-hugging leggings have a premium denim feel.",https://www.anthropologie.com/shop/ag-the-abbey-sateen-high-rise-skinny-ankle-jeans3?category=shop-all-jeans&color=001&type=STANDARD,https://s7d5.scene7.com/is/image/Anthropologie/loading-spacer?&fmt=png-alpha&wid=349&hei=523
